vendor_product_id,product_name,category,subcategory,description,sku,brand,price,compare_at_price,stock_quantity,unit,weight_kg,dimensions_cm,image_url
PROD0001,Cotton T-Shirt - Model 901,Men,,"Cotton T-Shirt. Features: 100% Cotton, Crew Neck, Classic Fit. Brand: StyleWear. Perfect for everyday use.",MC-VEND002-0001,StyleWear,23.65,,480,piece,4.8,35x26x26,https://cdn.example.com/products/vend002/mc-vend002-0001.jpg
PROD0002,Denim Jeans - Model 736,Men,,"Denim Jeans. Features: Straight Fit, Stretch, Classic Blue. Brand: StyleWear. Perfect for everyday use.",MC-VEND002-0002,StyleWear,63.87,79.99,468,piece,4.58,39x28x28,https://cdn.example.com/products/vend002/mc-vend002-0002.jpg
PROD0003,Polo Shirt - Model 581,Men,,"Polo Shirt. Features: Pique Cotton, Short Sleeve, Casual. Brand: StyleWear. Perfect for everyday use.",MC-VEND002-0003,StyleWear,32.7,49.99,248,piece,1.45,11x23x18,https://cdn.example.com/products/vend002/mc-vend002-0003.jpg
PROD0004,Dress Shirt - Model 888,Men,,"Dress Shirt. Features: Wrinkle-Free, Long Sleeve, Business. Brand: StyleWear. Perfect for everyday use.",MC-VEND002-0004,StyleWear,40.96,,237,piece,0.25,39x38x21,https://cdn.example.com/products/vend002/mc-vend002-0004.jpg
PROD0005,Hoodie - Model 821,Men,,"Hoodie. Features: Fleece, Pullover, Kangaroo Pocket. Brand: StyleWear. Perfect for everyday use.",MC-VEND002-0005,StyleWear,48.5,69.99,187,piece,3.0,24x14x19,https://cdn.example.com/products/vend002/mc-vend002-0005.jpg
PROD0006,Chino Pants - Model 612,Men,,"Chino Pants. Features: Slim Fit, Stretch, Business Casual. Brand: StyleWear. Perfect for everyday use.",MC-VEND002-0006,StyleWear,52.63,,126,piece,1.79,46x30x5,https://cdn.example.com/products/vend002/mc-vend002-0006.jpg
PROD0007,ERROR: Bomber Jacket - Model 358,Men,,"Bomber Jacket. Features: Water Resistant, Zip Front, Pockets. Brand: StyleWear. Perfect for everyday use.",MC-VEND002-0007,StyleWear,-10.0,119.99,312,piece,1.55,45x39x26,https://cdn.example.com/products/vend002/mc-vend002-0007.jpg
PROD0008,Sweater Crew Neck - Model 695,Men,,"Sweater Crew Neck. Features: Knit, Ribbed Cuffs, Warm. Brand: StyleWear. Perfect for everyday use.",MC-VEND002-0008,StyleWear,36.5,54.99,378,piece,4.1,42x15x22,https://cdn.example.com/products/vend002/mc-vend002-0008.jpg
PROD0009,Athletic Shorts - Model 755,Men,,"Athletic Shorts. Features: Moisture Wicking, Elastic Waist, Pockets. Brand: StyleWear. Perfect for everyday use.",MC-VEND002-0009,StyleWear,29.91,,446,piece,3.95,11x30x23,https://cdn.example.com/products/vend002/mc-vend002-0009.jpg
PROD0010,Track Pants - Model 250,Men,,"Track Pants. Features: Jogger Style, Tapered, Zip Pockets. Brand: StyleWear. Perfect for everyday use.",MC-VEND002-0010,StyleWear,44.68,,447,piece,2.71,16x38x23,https://cdn.example.com/products/vend002/mc-vend002-0010.jpg
PROD0011,Yoga Pants - Model 581,Women,,"Yoga Pants. Features: High Waist, Stretchy, Moisture Wicking. Brand: StyleWear. Perfect for everyday use.",WC-VEND002-0011,StyleWear,41.25,54.99,409,piece,3.21,35x38x24,https://cdn.example.com/products/vend002/wc-vend002-0011.jpg
